,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
85,Nizhnyaya Poyma,98,RU,1562365645,98,56.16,97.2,57.83,5.12
86,Narsaq,1,GL,1562365646,49,60.91,-46.05,60.8,9.17
87,La Rioja,8,AR,1562365647,60,-29.41,-66.86,44.15,4.97
88,Thompson,40,CA,1562365649,40,55.74,-97.86,69.8,9.17
89,East London,0,ZA,1562365650,72,-33.02,27.91,48.83,7.76
90,Pitimbu,20,BR,1562365651,88,-7.47,-34.81,75.2,5.82
91,Sarakhs,0,TM,1562365653,24,36.54,61.16,82.31,6.08
92,Cap Malheureux,75,MU,1562365654,73,-19.98,57.61,71.6,4.7
93,Esperance,40,AU,1562365655,93,-33.86,121.89,41.0,11.41
94,Almaznyy,0,RU,1562365657,67,48.03,40.04,59.0,6.71
95,Garissa,25,KE,1562365658,72,-0.46,39.64,74.93,18.72
96,Qaanaaq,22,GL,1562365660,57,77.48,-69.36,43.07,3.49
97,Faanui,30,PF,1562365661,78,-16.48,-151.75,76.91,25.26
98,Jaru,31,BR,1562365663,68,-10.43,-62.48,84.11,4.0
99,Raudeberg,31,NO,1562365664,71,61.99,5.14,51.8,4.7
100,Batsfjord,90,NO,1562365665,100,70.63,29.72,44.6,6.93
101,Ouango,41,CD,1562365667,96,4.31,22.55,70.25,1.28
102,Gorin,19,BF,1562365668,61,12.34,-0.67,84.11,5.7
103,Port Lincoln,100,AU,1562365745,71,-34.72,135.86,60.17,19.48
104,Ulladulla,90,AU,1562365747,100,-35.36,150.48,53.6,3.36
105,Jinka,46,ET,1562365748,81,5.79,36.57,64.85,5.08
106,San Quintin,91,PH,1562365749,93,17.54,120.52,74.21,2.84
107,Bilma,85,NE,1562365751,26,18.69,12.92,93.11,2.3
108,Broken Hill,0,AU,1562365752,76,-31.97,141.45,50.0,13.87
109,Port Blair,100,IN,1562365753,80,11.67,92.75,83.75,21.18
110,Rae Bareli,100,IN,1562365755,43,26.22,81.25,94.37,5.35
111,San Patricio,0,PY,1562365756,63,-26.98,-56.83,45.23,5.44
112,Mareeba,90,AU,1562365757,88,-16.99,145.42,69.8,11.41
113,San Ramon,75,NI,1562365759,88,12.92,-85.84,71.6,6.93
114,Hobyo,86,SO,1562365760,68,5.35,48.53,79.79,26.37
115,Tigil,77,RU,1562365761,56,57.8,158.67,59.27,4.65
116,Norman Wells,75,CA,1562365763,60,65.28,-126.83,68.0,4.7
117,Belaya Gora,0,RU,1562365764,63,68.54,146.19,55.85,9.86
118,Kavieng,93,PG,1562365765,74,-2.57,150.8,82.67,6.15
119,Hami,100,CN,1562365767,36,42.84,93.51,77.09,22.44
120,Saint George,20,GR,1562365768,69,39.45,22.34,75.2,4.23
121,Barrow,0,AR,1562365770,61,-38.31,-60.23,37.67,4.21
122,Qobustan,0,AZ,1562365771,78,40.08,49.41,75.2,11.41
123,Vostok,71,RU,1562365772,84,46.45,135.83,60.17,2.91
124,Abha,0,SA,1562365774,49,18.22,42.5,75.2,3.6
125,Shimla,0,IN,1562365775,67,31.1,77.17,72.77,4.47
126,Constitucion,90,MX,1562365776,19,23.99,-104.67,80.6,10.29
127,Ardalstangen,19,NO,1562365778,71,61.24,7.7,53.01,1.99
128,Pangody,4,RU,1562365779,50,65.85,74.49,61.07,21.68
129,San Carlos de Bariloche,0,AR,1562365780,60,-41.13,-71.31,41.0,2.24
130,Airai,0,TL,1562365782,80,-8.93,125.41,63.95,5.37
131,Tasiilaq,8,GL,1562365783,70,65.61,-37.64,46.4,8.05
132,Hithadhoo,10,MV,1562365785,79,-0.6,73.08,83.39,12.55
133,Marawi,100,PH,1562365786,91,8.0,124.29,75.99,3.0
134,Auki,73,NG,1562365787,70,12.18,6.51,79.97,9.53
135,Cabo San Lucas,5,MX,1562365625,33,22.89,-109.91,99.0,10.29
136,Tiksi,100,RU,1562365790,91,71.64,128.87,37.49,6.53
137,Asnaes,33,DK,1562365743,76,55.81,11.5,57.99,8.05
138,Joshimath,80,IN,1562365793,84,30.57,79.57,56.93,1.79
139,Korgen,92,NO,1562365794,81,66.08,13.83,46.4,11.41
140,Suhbaatar,0,MN,1562365795,59,50.23,106.21,53.69,3.13
141,Geraldton,40,CA,1562365536,36,49.72,-86.95,78.8,13.87
142,Borovskoy,100,KZ,1562365798,96,53.8,64.15,62.51,2.91
143,Cauquenes,0,CL,1562365799,60,-35.97,-72.32,49.19,5.35
144,Kaitangata,50,NZ,1562365801,79,-46.28,169.85,47.45,8.88
145,Biltine,43,TD,1562365802,46,14.53,20.93,86.33,6.71
146,Mount Isa,90,AU,1562365803,72,-20.73,139.49,62.6,10.29
147,Sao Jose de Ribamar,40,BR,1562365805,83,-2.56,-44.05,80.6,8.05
148,Kpandu,96,GH,1562365806,93,7.0,0.29,74.63,8.19
149,Road Town,40,VG,1562365808,70,18.42,-64.62,84.2,13.87
150,Borazjan,0,IR,1562365809,55,29.27,51.21,91.4,9.17
151,Salawagan,93,PH,1562365810,65,7.71,125.11,75.99,0.85
152,Lufilufi,75,WS,1562365812,70,-13.87,-171.6,84.2,5.82
153,Tiznit,0,MA,1562365813,87,29.7,-9.73,66.89,14.25
154,New Norfolk,20,AU,1562365814,93,-42.78,147.06,39.99,9.17
155,Dmitriyevka,1,GE,1562365816,80,43.08,41.0,74.45,7.67
156,Hofn,9,IS,1562365817,84,64.25,-15.21,37.37,12.08
157,San Vicente,40,EC,1562365818,74,-0.59,-80.41,78.8,11.41
158,Virginia Beach,75,US,1562365726,70,36.85,-75.98,88.0,8.05
159,Trat,73,TH,1562365821,80,12.25,102.51,82.99,1.5
160,Noumea,100,NC,1562365807,78,-22.28,166.46,71.6,5.82
161,Beyneu,74,KZ,1562365824,46,45.32,55.19,82.01,5.7
162,Shenandoah,1,US,1562365682,66,40.77,-95.37,86.0,1.74
163,Hilo,1,US,1562365827,62,19.71,-155.08,86.0,13.87
164,Lata,70,IN,1562365828,91,30.78,78.62,41.33,1.45
165,Nanortalik,0,GL,1562365696,71,60.14,-45.24,43.25,5.82
166,Port-Cartier,90,CA,1562365831,77,50.03,-66.88,66.2,4.7
167,Saldanha,0,PT,1562365832,74,41.42,-6.55,62.93,3.47
168,Salalah,75,OM,1562365833,89,17.01,54.1,84.2,4.7
169,Qaqortoq,1,GL,1562365835,55,60.72,-46.03,60.8,9.17
170,Nikolskoye,40,RU,1562365836,93,59.7,30.79,52.0,4.47
171,Merauke,33,ID,1562365837,81,-8.49,140.4,76.07,14.16
172,Marrakesh,20,MA,1562365839,42,31.63,-7.99,80.6,6.93
173,Chokurdakh,48,RU,1562365840,55,70.62,147.9,54.11,13.02
174,Mangrol,99,IN,1562365841,85,25.33,76.51,80.93,4.38
175,Muisne,40,EC,1562365843,83,0.61,-80.02,82.4,10.29
176,Lavrentiya,79,RU,1562365844,54,65.58,-170.99,65.81,5.46
177,Bredasdorp,7,ZA,1562365845,86,-34.53,20.04,41.0,3.36
178,Grand Gaube,75,MU,1562365847,73,-20.01,57.66,71.6,4.7
179,Fairbanks,1,US,1562365745,41,64.84,-147.72,78.01,8.05
180,Klaksvik,97,FO,1562365764,76,62.23,-6.59,48.2,12.75
181,Codrington,75,AU,1562365850,93,-28.95,153.24,66.2,5.82
182,Montepuez,74,MZ,1562365852,90,-13.13,39.0,63.83,3.51
183,Acajutla,0,SV,1562365853,64,13.59,-89.83,84.71,4.41
184,Provideniya,93,RU,1562365854,76,64.42,-173.23,56.09,6.96
185,Machala,90,EC,1562365856,88,-3.26,-79.96,89.6,1.92
186,Clyde River,75,CA,1562365857,86,70.47,-68.59,37.4,10.29
187,Zelenets,7,RU,1562365858,92,53.83,48.02,48.71,6.4
188,Viedma,0,AR,1562365860,70,-40.81,-62.99,39.17,9.04
189,Casper,1,US,1562365776,27,42.87,-106.31,78.8,17.22
190,Aklavik,75,CA,1562365807,64,68.22,-135.01,69.8,6.93
191,Unity,93,CA,1562365864,75,52.44,-109.15,62.39,3.94
192,Te Anau,70,NZ,1562365865,80,-45.41,167.72,43.31,1.81
193,Rio Gallegos,0,AR,1562365867,77,-51.62,-69.22,41.0,3.36
194,Valdivia,0,CL,1562365868,93,-39.81,-73.25,41.0,8.99
195,Coihaique,90,CL,1562365870,81,-45.58,-72.07,44.6,12.75
196,Omboue,100,GA,1562365871,90,-1.57,9.26,73.01,11.86
197,Waingapu,2,ID,1562365872,74,-9.65,120.26,71.57,14.85
198,Harper,40,US,1562365874,55,30.3,-99.24,91.0,19.46
199,Nador,0,MA,1562365875,73,35.17,-2.93,77.0,4.7
200,Safonovo,35,RU,1562365876,97,55.11,33.24,44.75,7.85
201,Belen,1,US,1562365878,8,34.66,-106.78,96.01,8.05
202,Anadyr,20,RU,1562365879,71,64.73,177.51,57.2,22.37
203,Nha Trang,20,VN,1562365580,69,12.24,109.19,82.4,2.24
204,Gao,0,ML,1562365882,34,16.28,-0.04,94.25,8.12
205,Longyearbyen,75,NO,1562365883,76,78.22,15.63,50.0,12.75
206,Ancud,0,CL,1562365884,87,-41.87,-73.83,44.6,4.7
207,Vestmanna,58,FO,1562365886,76,62.16,-7.17,48.2,12.75
208,Ouro Sogui,86,SN,1562365887,32,15.61,-13.32,92.81,8.05
209,Greenville,1,US,1562365661,74,34.85,-82.4,91.0,1.88
210,Areosa,20,PT,1562365890,93,41.72,-8.86,68.0,3.36
211,Shakhtinsk,0,KZ,1562365891,87,49.71,72.59,51.8,8.95
212,Rach Gia,40,VN,1562365663,100,10.02,105.08,78.8,1.12
213,Bowen,90,AU,1562365893,93,-20.01,148.25,68.0,10.29
214,Yako,24,BF,1562365895,54,12.96,-2.26,84.53,9.37
215,Torbay,90,CA,1562365896,87,47.66,-52.73,57.99,0.63
216,Isangel,75,VU,1562365898,73,-19.55,169.27,77.0,3.36
217,Swan Hill,69,AU,1562365900,73,-35.34,143.56,55.55,14.16
218,Sambava,13,MG,1562365901,86,-14.27,50.17,65.27,3.36
219,Banda Aceh,84,ID,1562365903,75,5.56,95.32,83.27,10.76
220,Yellowknife,90,CA,1562365904,93,62.45,-114.38,64.0,8.05
221,Denpasar,40,ID,1562365905,88,-8.65,115.22,75.2,8.05
222,Trairi,6,BR,1562365908,94,-3.28,-39.27,71.93,3.65
223,Oistins,20,BB,1562365792,69,13.07,-59.53,82.4,19.46
224,Cidreira,100,BR,1562365911,74,-30.17,-50.22,47.81,22.79
225,Jiuquan,55,CN,1562365912,35,39.73,98.49,68.87,11.14
226,Zhezkazgan,0,KZ,1562365914,50,47.8,67.71,72.29,4.34
227,Morondava,0,MG,1562365915,71,-20.3,44.28,73.01,7.52
228,Sao Jose da Coroa Grande,1,BR,1562365917,92,-8.9,-35.15,70.85,2.77
229,Padang,22,ID,1562365918,78,-0.92,100.36,80.93,5.35
230,Upernavik,100,GL,1562365919,77,72.79,-56.15,42.95,10.0
231,Indi,99,IN,1562365921,81,17.17,75.96,74.45,20.24
232,Amguri,71,IN,1562365922,90,26.81,94.53,80.21,4.38
233,Natitingou,75,BJ,1562365923,94,10.31,1.38,75.2,4.7
234,Leningradskiy,94,RU,1562365925,55,69.38,178.42,59.15,10.76
235,Ugoofaaru,84,MV,1562365926,78,5.67,73.0,83.27,13.09
236,Ixtapa,90,MX,1562365928,58,20.71,-105.21,88.0,5.82
237,Cariamanga,40,EC,1562365929,42,-4.33,-79.56,80.6,9.17
238,Inhambane,0,MZ,1562365930,93,-23.87,35.38,57.17,1.23
239,Piuma,96,BR,1562365932,89,-20.84,-40.72,67.97,2.71
240,Sinnamary,100,GF,1562365933,78,5.38,-52.96,80.57,10.6
241,Alice Springs,0,AU,1562365793,64,-23.7,133.88,39.2,2.24
242,Sidi Ali,100,DZ,1562365936,53,36.1,0.42,82.55,17.16
243,Seoul,1,KR,1562365753,65,37.57,126.98,80.6,2.24
244,Volosovo,40,RU,1562365939,93,59.45,29.48,51.01,4.47
245,Puerto Escondido,40,MX,1562365940,62,15.86,-97.07,87.8,5.82
246,Saskylakh,100,RU,1562365941,86,71.97,114.09,40.43,12.24
247,Severnoye,8,RU,1562365943,96,54.09,52.54,46.55,5.26
248,Amapa,20,HN,1562365944,49,15.09,-87.97,91.4,18.34
249,Samarkand,0,UZ,1562365945,36,39.65,66.98,75.2,9.17
250,Port Macquarie,40,AU,1562365947,93,-31.43,152.91,59.0,0.27
251,Necochea,75,AR,1562365948,88,-38.55,-58.74,41.0,4.0
252,Monrovia,75,LR,1562365950,94,6.33,-10.8,75.2,9.84
253,Lasa,0,CY,1562365951,78,34.92,32.53,78.8,1.19
254,Half Moon Bay,1,US,1562365952,82,37.46,-122.43,84.0,10.29
255,Nouadhibou,0,MR,1562365954,82,20.93,-17.03,68.0,24.16
256,Zeya,0,RU,1562365955,41,53.74,127.27,74.27,1.16
257,Mahanoro,1,MG,1562365956,98,-19.9,48.8,60.95,1.99
258,Yaviza,100,PA,1562365958,95,8.16,-77.69,76.25,1.21
259,Tuatapere,93,NZ,1562365959,94,-46.13,167.69,46.0,1.01
260,Luan,0,CH,1562365961,68,46.36,6.98,73.4,3.36
261,Wejherowo,0,PL,1562365962,81,54.61,18.25,57.0,8.05
262,Baker City,40,US,1562365963,20,44.77,-117.83,87.8,5.82
263,Mizdah,0,LY,1562365965,37,31.45,12.98,76.79,8.3
264,Erzin,0,TR,1562365966,78,36.95,36.2,78.01,17.22
265,Mount Gambier,100,AU,1562365707,87,-37.83,140.78,50.0,11.41
266,Portland,75,US,1562365674,57,43.66,-70.25,89.01,11.41
267,Port Victoria,52,AU,1562365970,79,-34.5,137.49,58.79,20.87
268,Mandla,100,IN,1562365971,90,22.6,80.37,75.89,10.31
269,Derbent,1,RU,1562365972,60,42.06,48.29,67.25,5.82
270,Alofi,40,NU,1562365974,65,-19.06,-169.92,78.8,14.99
271,Petropavlovsk-Kamchatskiy,90,RU,1562365975,100,53.05,158.65,48.2,2.24
272,Sao Goncalo do Amarante,40,BR,1562365976,78,-3.61,-38.97,86.0,11.41
273,Medea,40,DZ,1562365978,78,36.27,2.77,80.6,5.82
274,Mar del Plata,0,AR,1562365979,80,-46.43,-67.52,40.07,15.37
275,Lysva,11,RU,1562365980,99,58.11,57.8,45.29,3.62
276,Yulara,1,AU,1562365982,55,-25.24,130.99,39.2,5.82
277,Katherine,0,AU,1562365983,71,-14.47,132.26,51.8,6.93
278,Talnakh,0,RU,1562365985,76,69.49,88.39,48.2,24.61
279,Lauro Muller,0,BR,1562365986,69,-28.39,-49.4,37.55,8.43
280,Comodoro Rivadavia,0,AR,1562365987,57,-45.87,-67.48,50.0,12.75
281,Dingle,94,PH,1562365989,78,11.0,122.67,80.03,3.44
282,Russkaya Polyana,68,RU,1562365990,81,53.78,73.88,64.55,7.31
283,Ewa Beach,20,US,1562365992,62,21.32,-158.01,88.0,13.87
284,Shieli,0,KZ,1562365993,27,44.18,66.74,79.85,5.68
285,Isla Vista,1,US,1562365995,42,34.41,-119.86,82.99,13.87
286,Harnosand,80,SE,1562365996,87,62.63,17.94,55.99,8.05
287,Ballina,100,IE,1562365997,92,54.11,-9.15,57.99,1.99
288,Chernyshevskiy,68,RU,1562365999,51,63.01,112.47,58.61,5.91
289,Narasannapeta,100,IN,1562366000,95,18.42,84.04,74.63,13.69
290,Rio Grande,90,BR,1562366001,61,-32.03,-52.1,48.2,16.11
291,Alyangula,0,AU,1562366003,93,-13.85,136.42,60.8,6.55
292,Chumikan,33,RU,1562366004,72,54.72,135.31,59.69,2.93
293,Cayenne,0,GF,1562366005,94,4.94,-52.33,75.2,3.24
294,Olot,0,ES,1562365903,78,42.18,2.49,79.0,1.81
295,Sitka,11,US,1562365860,45,37.17,-99.65,93.0,10.0
296,Clarence Town,90,AU,1562366009,100,-32.59,151.78,62.01,1.12
297,Karasjok,100,NO,1562366010,87,69.47,25.52,46.4,23.04
298,Calabar,100,NG,1562366012,97,4.98,8.34,73.73,3.67
299,Manggar,22,ID,1562366013,82,-2.88,108.27,80.03,5.08
300,Neiafu,40,TO,1562366014,69,-18.65,-173.98,78.8,11.41
301,Taseyevo,6,RU,1562366016,76,57.22,94.9,66.17,6.96
302,Bambous Virieux,75,MU,1562366017,73,-20.34,57.76,71.6,4.7
303,Paciran,92,ID,1562366019,84,-6.9,112.33,73.55,5.5
304,Khatanga,98,RU,1562366020,64,71.98,102.47,48.71,9.22
305,Yanam,100,IN,1562366021,91,16.73,82.22,76.25,13.47
306,Corralillo,82,CU,1562366023,78,22.98,-80.59,82.91,2.82
307,Mwinilunga,0,ZM,1562366024,58,-11.73,24.43,53.75,4.59
308,Christchurch,100,NZ,1562366025,66,-43.53,172.64,50.0,13.87
309,Ponta Delgada,20,PT,1562366027,77,37.73,-25.67,64.4,4.7
310,Loandjili,20,CG,1562366028,94,-4.77,11.87,73.4,3.36
311,Russell,90,US,1562366029,48,38.9,-98.86,90.0,18.34
312,San Cristobal,0,HN,1562366031,53,14.68,-86.92,76.25,8.61
313,Makinsk,8,KZ,1562366032,67,52.63,70.42,60.77,10.2
314,Kahului,40,US,1562366034,52,20.89,-156.47,89.6,18.34
315,Xinmin,0,CN,1562366035,57,42.0,122.83,75.2,11.18
316,Brae,94,GB,1562366036,100,60.4,-1.35,51.8,12.75
317,Matara,72,BI,1562366038,83,-3.48,29.48,53.93,2.3
318,Mattawa,75,CA,1562366039,66,46.32,-78.7,86.0,16.11
319,Gat,99,SN,1562366041,83,14.69,-16.54,75.2,8.05
320,Hamilton,75,CA,1562365797,78,43.26,-79.87,89.01,13.87
321,Kologriv,10,RU,1562366043,97,58.83,44.31,46.73,4.76
322,Nuevo Progreso,1,US,1562366045,39,26.05,-97.95,96.8,16.11
323,Orlik,0,PL,1562366046,81,53.95,17.74,53.01,8.05
324,Qianguo,45,CN,1562366047,76,45.12,124.86,74.99,13.11
325,Yeppoon,75,AU,1562366049,93,-23.13,150.74,64.4,12.75
326,Aripuana,43,BR,1562366050,70,-9.17,-60.63,77.69,1.68
327,Dunedin,82,NZ,1562365954,71,-45.87,170.5,51.01,17.0
328,Namtsy,75,RU,1562366053,93,62.72,129.66,55.4,4.47
329,Nalut,0,LY,1562366054,27,31.86,10.98,81.11,3.94
330,Chuy,79,UY,1562366056,72,-33.69,-53.46,47.09,19.66
331,Basoko,100,CD,1562366057,98,1.23,23.61,70.85,1.83
332,Nerchinskiy Zavod,97,RU,1562366058,31,51.31,119.61,66.53,4.47
333,Bethel,40,US,1562366060,64,60.79,-161.76,78.8,10.29
334,Gravdal,75,NO,1562366061,81,59.79,5.78,51.01,4.7
335,Carcasi,100,CO,1562366062,87,6.63,-72.63,61.85,3.33
336,Gushikawa,90,JP,1562366064,94,26.35,127.87,77.0,4.7
337,Shubarshi,40,KZ,1562366065,73,48.59,57.19,67.61,6.67
338,Turayf,0,SA,1562366067,34,31.68,38.65,80.6,11.41
339,Siteki,67,SZ,1562366068,27,-26.45,31.95,53.6,0.69
340,Tondano,20,ID,1562366069,94,1.3,124.91,71.6,3.36
341,Pisco,90,PE,1562365780,30,-13.71,-76.2,71.6,5.82
342,Adrar,0,DZ,1562366073,13,27.87,-0.29,96.8,4.7
343,Ngunguru,0,NZ,1562366074,81,-35.62,174.5,55.0,5.01
344,Tarbolton,75,GB,1562366076,93,55.51,-4.48,57.2,11.41
345,Chaiyaphum,91,TH,1562366077,87,15.81,102.03,73.01,6.26
346,Sorland,88,NO,1562366079,74,67.67,12.69,47.09,4.03
347,Lincoln,44,GB,1562365906,72,53.23,-0.54,64.4,8.05
348,Torrijos,0,ES,1562366027,24,39.98,-4.28,84.99,4.7
349,Vardo,75,US,1562366083,55,39.62,-77.74,90.0,5.82
350,Tottori,75,JP,1562366085,88,35.5,134.23,73.4,12.75
351,Itoman,75,JP,1562365868,94,26.12,127.67,77.0,8.05
352,Kushima,75,JP,1562366087,88,31.5,131.29,73.4,10.29
353,Outjo,0,NA,1562366089,20,-20.11,16.16,51.8,3.36
354,Salto,90,BR,1562366090,87,-23.2,-47.29,60.01,9.17
355,Naryan-Mar,100,RU,1562366091,87,67.67,53.09,64.55,13.22
356,Bretigny-sur-Orge,0,FR,1562366093,43,48.61,2.31,73.4,3.36
357,Mitu,0,IR,1562366094,46,36.2,46.09,62.57,3.89
358,Barcelos,1,BR,1562366095,86,-0.97,-62.93,76.61,1.77
359,Lorengau,47,PG,1562366097,69,-2.02,147.27,83.27,5.23
360,Innisfail,65,AU,1562366098,98,-17.52,146.03,61.0,4.0
361,Baghmara,77,IN,1562366099,81,23.8,86.21,81.83,2.1
362,Teknaf,100,BD,1562366101,80,20.86,92.31,84.71,23.71
363,Traverse City,40,US,1562365909,83,44.76,-85.62,84.2,10.29
364,High Level,75,CA,1562366103,31,58.52,-117.13,75.2,4.7
365,Mulanje,0,MW,1562366105,81,-16.03,35.5,53.93,1.3
366,Victoria,75,BN,1562365937,94,5.28,115.24,78.01,4.03
367,Bintulu,75,MY,1562366107,94,3.17,113.03,75.2,4.7
368,Faya,0,SA,1562366109,49,18.39,42.45,75.2,1.83
369,Husavik,27,CA,1562366110,37,50.56,-96.99,75.0,5.99
370,Cockburn Town,40,TC,1562366111,66,21.46,-71.14,87.8,20.8
371,Santiago del Estero,0,AR,1562366113,55,-27.8,-64.26,49.97,7.4
372,Latung,0,ID,1562366114,60,-8.45,120.42,71.21,4.36
373,Ometepec,78,MX,1562366116,61,16.69,-98.42,86.87,8.21
